country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,5,477,613,53.9k,57.2k,56.2k,57k,58k,44.4k,4660,4470,8730,8990,10.6k,13.8k,15.1k,17.5k,11.8k,17.6k,16.8k,12.3k,16.5k,15.3k,18.3k,32.6k,32.5k,42.7k,39.8k,84.9k,79.9k,85.6k,83.6k,88.2k,90.5k
Bulgaria,,,,,,,,,,,,,,,,,,,90,320,340,340,340,300,300,0,0,290,0,329,274,257,227,183,190,160,138,898,869,1920,2730,2980,3160,4690,4160,3250,3050,3120,2650,3710,3630,4590,3940,3450,5460,4250,3710,3330,3180,2680,2510,2280,2050,1830,1470,1060,1030,987,910,860,795,949
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,52,53,59,74,70,64,82,94,124,143,51,54,55,70,62,70,81,82,72,105,285,397,363,442,503,579,669,676,713,652,553,503
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,26,163,18,19,18,34,37,37,44,45,219,227,235,256,296,417,613,812,1030,1230,1390,1510
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438k,618k,776k,770k,994k,849k,640k,598k,509k,452k,412k,302k,230k,112k,202k,79.4k,75.5k,71.2k,64.3k,60.5k,54.6k,30.9k,28.4k,25.8k,21.3k,19.6k,18.6k,18k,16.9k,19.8k,19.6k
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,84,499,300,292,1510,3280,4820,8440,9920,9630,10.3k,11.1k,6160,6460,6490,6470,6830,7190,5260,5230,5590,5820,6510,6810,7440,7840,11.4k,16.2k
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,0,0,11,26,30,33,37,29,29,27,23,35,32,31,43,40,90,125,144,218,270,287,351,382,450,464
Bolivia,,,,,,,,,,,,,,,,,,,,1400,2930,1730,0,1650,90,60,0,0,0,170,100,270,0,0,0,0,0,0,26,729,67,28,40,177,180,177,163,187,176,298,317,707,745,660,615,795,844,608,732,723,767,778,795,856,908,941,1390,1510,1750,1910,2380,2370
Brazil,,,,,,,,,,,,,,,,,,,0,0,2000,2000,0,0,0,0,0,0,0,5,5,5,5,5,5,5,0,0,6,15,11,11,9,41,52,84,103,134,194,869,1050,1590,1640,1410,960,1130,1920,1760,1330,1230,1240,1320,1530,2170,3040,4560,7640,9610,13.4k,18.4k,28.4k,37.6k
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,13,30,67,51,22,26,65,69,78,94,92,115,106,114,99,119,188,248,292,359,350,356,361
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,5,5,9,0,10,10,5,6
Bhutan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,75.4k,85.3k,103k,105k,107k,109k,106k,108k,109k,111k,113k,104k,106k,108k,110k,112k,106k,90.1k,76.1k,59k,41.7k,31.7k,23.8k,17.9k,12k,8350,7490,7250,7150,7190,7170
Botswana,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,22,27,22,16,16,10,5,5,15,21,12,8,37,69,177,227,241,256,251,266,303,379,392,374,378,367,325,335,466
Central African Republic,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15k,0,0,0,230,160,170,310,100,320,325,309,264,241,240,139,168,190,189,29.1k,26k,36.2k,32.3k,44.7k,73.8k,99.4k,126k,160k,166k,165k,166k,260k,426k,482k,501k,559k,608k,626k,656k,752k,752k
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,12,16,19,32,14,72,83,75,155,138,589,155,106,91,108,126,117,144,407,130,153,160,159,173,186,317
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,32,54,76,90,69,60,60,34,11,14,38,33,32,24,20,20,21,11,16,16,15,15,18,25,21,21,26
Chile,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13.6k,15.3k,2670,3000,3130,3130,1510,1890,2480,1790,1550,2180,2430,1910,608,1200,14.5k,14k,14k,15.3k,15.5k,14.3k,12.8k,9780,7010,1540,1020,1030,2220,1860,1380,1010,881,1090,1120,1480,1330,1300,1210,654,669,703,695,843,993,1740,2770,10k,11.2k
China,,,,,,,,,,,,,,1.2M,1.33M,1.33M,74k,70k,65k,66k,70k,75k,0,0,0,0,0,0,0,24,24,104,24,24,124,154,24,265,413,1430,2010,82.6k,112k,114k,105k,106k,107k,109k,112k,128k,137k,157k,154k,154k,143k,158k,165k,195k,199k,192k,202k,209k,220k,258k,271k,280k,297k,306k,317k,283k,289k,281k
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,41,102,203,272,355,531,561,1450,1640,25.4k,36.9k,28.4k,24.7k,32.7k,29.6k,28.7k,28.4k,47.8k,173k,112k,96.6k,85.4k,84.9k,65.4k,66.5k,61.2k,59.2k,71.7k,72.5k,51.6k
Cameroon,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,0,84,170,236,2020,2110,2250,1350,1650,3560,4890,8070,9560,11.4k,14k,13.8k,14.5k,16.8k,17k,17k,17.6k,16.7k,15.6k,15.8k,17.9k,21.3k,35.6k,63.8k,88.1k,101k,148k,160k
"Congo, Dem. Rep.",,,,,,,,,,0,0,0,0,58.7k,47k,74.8k,78.2k,67.3k,54.5k,51.6k,43.5k,43.9k,43.4k,39.8k,39.4k,44.1k,265k,152k,70.5k,117k,119k,92.5k,102k,94.5k,86.4k,96.6k,69.4k,104k,101k,67.4k,65.8k,81.3k,74.8k,73.3k,89.7k,159k,174k,159k,256k,392k,420k,465k,505k,513k,487k,431k,407k,404k,487k,520k,544k,568k,565k,584k,618k,620k,757k,854k,948k,986k,1.06M,1.05M
"Congo, Rep.",,,,,,,,,,,,,,,,,930,330,0,0,0,0,0,0,110,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,5,7,7,33,172,214,21.1k,17.1k,27.3k,31.7k,28.5k,35k,35.9k,35.3k,32.6k,25.5k,25.8k,25k,23.7k,23.7k,14.8k,14.6k,15k,17.9k,18.8k,17.6k,26.4k,25.1k,24k,25.4k,27k,26.9k
