country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169k,152k,76.3k,246k,310k,349k,338k,354k,336k,291k,275k,231k,216k,119k,94k,101k,97.1k,76.6k,66.2k,63.4k,63.9k,50.7k,40.2k,33.5k,26.6k,25.1k,24.2k,23.9k,23.5k,18.1k,17.9k
Haiti,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,300,3300,3800,5000,5000,5230,5440,6100,5120,5080,4700,3340,2090,1860,2480,3860,9800,13.9k,15.1k,15.5k,13.5k,8770,27.3k,29.2k,29.9k,25.9k,25.5k,27.1k,31.4k,32.5k,35.7k,36k,33.1k,41.1k,41.2k,43.8k,43.9k,44k,52.1k,65.4k,68.5k,92.4k,106k,165k,177k
Hungary,,,,,,,,,,,,,,,3270,3270,3270,3270,3360,3490,220,210,170,150,140,50,0,120,0,763,744,728,607,430,435,381,329,3890,4360,5770,4730,3990,5010,4470,2350,3080,2670,1240,797,2470,5100,6630,4400,3340,3770,3320,3470,1900,3990,4980,7240,4820,3170,1600,2150,4570,4990,4730,4680,5220,5260,2710
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,150,2200,1230,11k,11.8k,11.3k,9680,9300,7780,7170,6160,6830,7930,8730,9840,11.4k,8800,9050,9020,12.8k,13.6k,15.2k,23.8k,33.7k,38.9k,38k,22.9k,21.6k,20.2k,17.3k,16.4k,16k,15.9k,16.2k,16.6k,16.6k,17.9k,15.5k,16.4k,18k,19.8k,20k
India,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,197,406,1020,1490,3270,5010,7550,8920,9660,9850,21.2k,21.3k,25.4k,25.2k,25k,28.4k,24.5k,27.5k,26.4k,24.2k,21.6k,20.6k,20.9k,23.5k,27.1k,34.8k,35.2k,48.3k,61.4k,77.8k,82.4k,92.6k,99.1k
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,16,10,23,5,9,7,12,7,12,17,39,89,41,42,52,59,90,94,146,196
Iran,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,803,2480,5580,5240,88.2k,87.9k,11k,58.3k,52.8k,75.9k,130k,129k,116k,121k,112k,104k,94k,90k,86.8k,109k,107k,152k,134k,125k,112k,116k,78.8k,80.2k,86.5k,84.8k,90.8k,100k,104k,117k,142k,182k,194k,217k,215k,212k,212k,207k
Iraq,,,,,,,,,,,,,,,,,,2700,2700,0,0,0,0,0,0,0,0,560,31k,31.1k,66.6k,104k,104k,102k,402k,401k,411k,508k,508k,1.13M,1.32M,1.34M,771k,750k,719k,715k,707k,675k,643k,567k,565k,452k,400k,343k,297k,1.5M,2.34M,1.93M,1.81M,1.71M,1.45M,770k,445k,474k,501k,594k,635k,629k,639k,606k,598k,586k
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,5,5,5,5,0,13,16,14,10,32,10,10,5,5,0,0,5,5,5,5,5,10,10,5,12,101
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,14,28,37,114,888,937,1120,988,832,473,776,970,1580,1570,1430,1240,1820,2490,2520,2350,2080,1830,1740,1320,1250,1170,1040,1160,1180,1140,1040,1260,1480
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,120,109,112,76,49,79,67,259,238,215,239,119,94,87,73,97,89,119,141,173,208,181,334,450,507,533,700,894
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,10,11,18,21,26,33,210,318,626,670,635,777,931,1000,1230,1480,1610,1830,1900,2130,2280,2700,3130,3650,3940,4330,4430,4720,4590
Jordan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,105,5,5,7,14,56,114,183,239,440,511,707,720,897,970,1470,1330,2000,1870,1860,2440,2350,2510,2630,2870,2860,2770,2990,2550,3000,3670,4350,5590,6550,7030,7470,8780,9210
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,16,28,36,44,89,61,198,538,209,176,159,212,210,202,318,208,136,143,156,150,161,173,197
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,137,40.2k,40.8k,20.5k,9060,3280,3680,7240,7450,6780,4930,8030,5760,5400,4340,4380,4240,4490,3260,3370,3830,4590,5920,8350,9740,8720,9120,9840
Kenya,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,90,0,1200,80,80,0,0,0,0,0,0,0,0,0,0,7,31,61,83,8770,9320,9390,9560,6040,6130,3230,3260,13.3k,14k,15.1k,16.1k,6430,9260,11.9k,12.6k,10.2k,10.3k,10.5k,10.8k,11.5k,11.2k,11.1k,13.3k,14.8k,15.6k,16.4k,17.3k,17.8k
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,20,17.1k,16.3k,7450,4000,1070,1080,3490,3760,3760,3490,3080,2700,2930,3040,4310,4720,4690,3590,4280,4760,4940,5340,5660,5560,5580,5820,6280
Cambodia,,,,,,,,,,,,,,0,0,0,0,0,0,0,57k,55k,35k,0,18.8k,17.2k,76.7k,165k,51.1k,193k,135k,123k,91.1k,72.5k,67.5k,54.8k,48.6k,97.8k,75.7k,54.4k,43.2k,28.8k,9750,8540,61.2k,62.2k,103k,76.6k,38.3k,37.2k,35.1k,33.9k,31.9k,18.6k,18.7k,18.6k,18.1k,17.5k,17.2k,16.4k,15.4k,14.2k,14k,13.3k,13.2k,12.8k,13.8k,12.9k,12.8k,12.8k,13k,12.5k
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,31,36,44,36,36,31,31,36,44,21,5,5,0,0,0,0,0,5,10
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,5,0,31,5,8,8,11,22,21,30,33,27,45,71,69,69,74,72,79,61
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,17,29,40,50,63,72,428,554,848,735,576,587,1640,1570,1610,885,811,681,738,707,760,598,509,620,810,823,869,1010,1040
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,46,49,77,91,758,764,854,824,827,988,786,842,821,719,480,439,733,845,908,992,1070,1280,1320,1140,1230,1510,1660,2050,2470,2700,2840,3560,3940
Lao,,,,,,,,,,,,,,,,,,,,,,0,0,0,55.5k,62.7k,79k,119k,129k,105k,90k,80.6k,85k,86.7k,99.3k,91.2k,78.9k,136k,133k,136k,122k,96.2k,74.5k,54.9k,58.2k,46.9k,37.4k,29k,21.4k,16.3k,13.6k,12.1k,10.8k,16.6k,24.8k,26.7k,10.2k,8770,8590,8480,8110,7990,7780,7590,7520,7400,7280,7240,7150,7130,7250,7130
Lebanon,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6k,27.3k,30.1k,33.1k,630,0,439,2200,6990,8500,10.3k,10.6k,15.6k,13.5k,10.9k,10.2k,9780,7680,11.7k,10.6k,28.7k,27.1k,21.5k,20.3k,15.4k,15.6k,15.2k,18k,17.4k,16.4k,17.1k,6540,8100,10.3k,13.2k,14.6k,13.7k,13.7k,13.5k,14.9k,15.6k
Liberia,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,736k,673k,521k,704k,798k,745k,784k,493k,365k,295k,271k,251k,286k,360k,343k,237k,166k,95.1k,77.6k,73.8k,72k,68.7k,25.4k,19.5k,15.9k,12.4k,9160,9400,8490,8320,8270,8470,8170
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,226,259,275,291,327,304,250,659,653,579,841,687,595,669,622,271,266,432,563,1130,1360,2370,2450,2510,2320,2210,2550,2820,2830,2860,6330,7130,5370,8070,12.1k,15.4k,18k,20.7k,22k,23k,24.8k,23.5k
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,40,75,287,288,181,296,307,406,624,909,1020,1110,1080,968,956,1070,1190,1170,1090,917,809,548,191
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,10,5
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,315,219,3390,7690,208k,209k,128k,91.8k,114k,108k,110k,122k,115k,117k,131k,129k,138k,125k,117k,112k,122k,141k,145k,153k,150k,147k,147k,139k,139k,136k,133k,135k,128k,126k,158k,163k,158k
Lesotho,,,,,,,,,,,,,,,,,,,,0,60,0,0,110,310,0,90,160,160,70,80,0,0,0,0,0,0,0,5,5,5,0,55,0,0,0,0,0,0,0,6,10,10,15,6,10,17,22,10,10,163,284,686,681,1110,703,26,44,55,44,47,56
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10,15,63,107,659,650,276,251,293,466,1720,1890,1670,1620,1090,544,546,606,628,634,577,293,239,207,152,168,155,137,136,168,158
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,95,158,1960,1920,1010,903,591,788,3270,3370,2970,2550,1520,697,789,863,889,849,756,294,263,264,261,267,255,242,235,242,228
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,46,92,105,179,300,302,309,351,373,577,627,1560,1550,1560,3360,5280,4500,4050,2880,3110,3440,4150,4150,4740,7340,9490,9940,12k,13k,12.7k,18k,22.2k
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,0,5,5,5,11,5,5,5,5,5,0,0,0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,455,524,5830,5140,2750,2410,3520,5880,11.6k,12.1k,12.6k,12.6k,13k,5820,6430,6660,6840,6720,6580,3090,3670,5730,6670,5760,6930,8080,7720,9070,10k
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,76,74,66,53,66,41,67,115,146,216,280,287,298,302,284,298,326,466,479,451,345,365,409,562,606,798,966
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,15,15,15,15,16,21,53,54,37,67,93,98,109,86,101,101,193
Mexico,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,361,520,663,1010,1360,14.3k,24.1k,32.5k,28.1k,20.6k,14.9k,15.1k,20.3k,23.6k,26.8k,16.8k,12.8k,12k,21.7k,40k,57.6k,74.6k,96.8k,103k,116k,127k,134k,132k
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,5,7,7,7,57,7,11
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1900,346,12.9k,13k,12.7k,1930,2090,2680,14.4k,10.2k,7150,5800,9310,9540,9170,8590,8790,10.7k,9940,12.2k,8300,9540,16.4k,8780,5690,4950,4310,3290,5820,5190
Mali,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7k,71.2k,98.6k,173k,77.2k,55.2k,18k,3700,381,549,678,839,678,667,851,997,5110,2490,3690,4040,4680,152k,159k,151k,164k,166k,165k,169k,173k,176k,208k,222k
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,13,18,14,15,23,22,12,12,14,5,0,30,10,10,10,5,5,5,5,0,5,0,5,15,20,15,12,15
Myanmar,,,,,,,,,,,,,,,,,,,,,,5700,0,0,0,0,0,160k,0,0,0,0,0,0,0,0,0,7,0,24,40.1k,245k,282k,205k,152k,143k,136k,133k,132k,138k,147k,151k,162k,172k,206k,229k,210k,207k,429k,438k,439k,441k,525k,530k,512k,546k,1.2M,1.18M,1.11M,1.14M,1.22M,1.26M
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,850,1460,2750,3420,4000,4420,1120,1870,3660,1850,1470,1350,1270,1160,1430,1480
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,17,25,622,907,1310,1020,1000,1300,2720,3060,3400,3780,3510,3430,3050,3310,4370,5730,6110,6400,6640,6420,6400,7180,7070
Mozambique,,,,,,,,,,,,,,10k,17k,20.8k,27.8k,33.8k,43.1k,60.1k,60.4k,64.4k,69.8k,81k,34.8k,580,120,130,370,120,5170,20.2k,50.2k,51.2k,72.3k,194k,635k,921k,1.12M,1.25M,1.32M,1.45M,1.17M,234k,126k,34.7k,33.7k,56,26,24,57,179,274,404,459,222,891,876,135,131,493,1020,1480,1460,2250,5750,12.6k,9030,8810,8760,8810,8860
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,48.2k,66k,79.9k,79.6k,67.9k,68k,84.3k,83.2k,70.3k,70.2k,29.9k,31.5k,32.4k,33.1k,33.4k,33.7k,33.9k,35.2k,34.1k,46.4k,40k,38.5k,40.5k,36.8k,38.1k,41.1k,42.1k,43.6k,44.1k,45.2k,46k,47.2k,48k,45.1k
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,0,12,5,44,51,57,73,26,39,96,82,41,37,65,143,171,192,242,303,309,359,450,482,514,549,580
Malawi,,,,,,,,,,,,,,,,150,300,140,190,250,250,250,100,80,30.4k,60,1050,310,460,420,70,240,440,440,450,440,450,5,5,55,50,50,43,60,37,40,37,27,34,39,38,195,1510,3030,3940,155,8280,8310,168,228,3180,4820,4590,4250,6100,4180,3590,3270,3080,2680,2530,2510
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,83,82,105,88,87,83,319,389,597,560,462,572,710,723,735,678,666,667,693,744,1410,3260,6620,10k,15.9k,22.2k,22.5k,22k,22k
Namibia,,,,,,,,,,,,,,,,180,230,1330,840,900,900,1000,3410,3420,3970,9020,12.9k,35.8k,40.6k,55.6k,74.5k,75.2k,75.1k,77.5k,76.9k,77k,75.7k,76.6k,3700,532,204,17,133,65,12,13,0,1900,702,2320,2450,1480,1470,1490,1260,1210,1140,999,961,1360,2160,1670,1410,1300,1330,1490,1580,1660,1220,1300,1360,1460
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22k,22.3k,22k,10.3k,10.4k,2780,418,508,733,893,1380,1170,1030,1220,1270,1080,1050,1100,1110,1100,1180,1090,1260,2150,2070,3760,4770,5480,23k,24.6k,21k
Nigeria,,,,,,,,,,,,,,,,,,51.1k,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,15,15,22,75,95,587,1940,4750,3040,4000,4440,9190,10.2k,32.2k,39.1k,37.1k,36.1k,21.6k,23.6k,24.6k,25.2k,27.6k,27.7k,32.2k,52.5k,121k,219k,296k,331k,361k,408k,426k,467k,489k
Nicaragua,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,145k,16.6k,960,2500,19k,23.5k,35k,52.6k,67.5k,68.5k,86.6k,97.7k,52.6k,46.8k,44.3k,33.1k,28.6k,23.9k,22.8k,22.5k,21.4k,20.6k,18.2k,17.6k,14k,10.8k,8070,5890,4130,2720,2000,1900,1580,1600,1650,2040,2300,2710,3530,4190,33.9k,71.2k,70.8k,175k,237k
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,86,97,77,57,29,146,92,119,128,160,195,79,66,71,69,73,103,97,84,103,119,74,103,132,157,134,151,159
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,12,0,5,0,5,0,10,10,20,15,15,25,40,16,16,20,28,26
Nepal,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,44,49,95,178,671,850,1510,1960,2720,4480,5080,5500,6280,6900,7040,8850,10.1k,11.9k,15.2k,18k,19.9k,21.6k,17.7k,18k,17.8k,18.4k,19k
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,21,21,21
New Zealand,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,12,17,13,9,11,19,25,21,27,23,43,61,48,61,67,102,78
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,8,8,8,8,11,10,24,5,16,10,37,49,55,68,68,58,62,20,34,52,59,61,70,101,117,124,133
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,274,409,485,523,1090,1420,4430,5280,7500,5980,6860,8010,17.3k,20.3k,34.5k,41.2k,41.7k,46.3k,32.4k,40.4k,38.6k,39.9k,60k,49.6k,73.5k,96.2k,380k,362k,173k,206k,208k,203k,195k,190k,181k
Panama,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,365,629,640,652,677,486,158,146,123,86,73,120,108,152,118,108,100,90,134,142,143,145,129,138,126,111,121,114,162,185,285,385,630,866
Peru,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,255,473,727,1970,4330,5900,6700,6610,7070,7210,9380,9250,10k,8350,6870,6500,8900,10.8k,9830,12.1k,10.6k,5990,5540,5460,5360,5120,4890,6090,7470,11.4k,13.4k,12.6k,18.3k
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,0,0,90k,92k,90k,90k,90k,90k,100k,100k,90k,90k,90k,90k,90k,11,15,45,111,435,515,599,526,45.6k,45.5k,47.3k,47.3k,47.6k,2240,1410,1330,1680,2300,2250,1780,1610,1300,1360,1590,1780,2470,3550,8530,4330,5290,5460,6050,6090
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,0,5,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2010,806,216,6,6,6,17,18,12,37,33,51,54,79,130,172,255,365,498,533,662,778,869,1020,1160,1140,1150
Poland,,,,,,,,,,,,,,,,,,,,150,150,140,100,70,60,50,0,50,0,471,505,775,761,994,1660,1100,1480,23.3k,23.1k,25.6k,21.6k,14.5k,13.4k,35.9k,19.7k,12.9k,7290,1880,1240,1410,4070,17.5k,16.1k,11.3k,20.2k,13.9k,3100,2610,2300,1910,2160,1960,1700,1570,1700,1720,1910,2000,1980,1960,1940,1980
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,5,10,65,66,326,347,408,354,489,834,1090,1000,1180,1600,2150,2100,1510,1320,1950,1760,943,870,777,636,399
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,218,213,21,16,97,160,611,446,255,196,70,70,68,76,89,96,81,67,64,92,101,187,265,363,387,465,561
Paraguay,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,10,15,64,51,45,19,16,20,36,28,70,84,76,73,139,143,129,107,110,113,124,119,121,155,185,252,351,716,987,1230,1240
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,1.05M,1.07M,1.11M,1.14M,1.17M,1.19M,1.23M,1.26M,1.29M,1.36M,1.42M,1.41M,1.45M,1.5M,1.54M,1.66M,1.77M,1.88M,2M,2.09M,2.18M,2.24M,2.3M,2.39M,2.49M,2.79M,2.92M,2.9M,2.95M,3.01M,3.04M,3.11M,3.18M,2.98M,2.95M,3M,3.07M,3.13M,3.2M,3.24M,3.29M,3.34M,3.39M,3.42M,3.47M,3.51M,3.53M
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,17,18,21,6,31,29,40,28,10,11,53,57,69,71,116,100,128,15,28,33,48,70,63,72,71,82,94
Romania,,,,,,,,,,,,,,,,,,,,100,60,90,90,70,70,0,0,60,0,772,854,1160,1210,962,2200,1020,1890,20.2k,46k,51.3k,27.2k,25.1k,23.6k,22.3k,17k,11.9k,8960,10.9k,8560,9810,8860,11.1k,10.5k,7380,12.6k,8550,5860,5130,4760,4230,3890,3410,3480,2930,3110,3720,4470,5410,5260,5060,5870,7520
Russia,,,,,,,,,,,,,,120,0,18k,0,0,0,170,160,150,110,80,70,60,50,50,0,10.8k,11.6k,11.6k,11.6k,11.6k,11.6k,10.2k,8680,33.6k,68.5k,118k,156k,214k,243k,251k,207k,174k,198k,173k,28.3k,50.9k,59.8k,111k,117k,121k,117k,178k,111k,119k,123k,122k,122k,126k,100k,94.7k,94.5k,98.1k,100k,105k,111k,97.1k,112k,125k
Rwanda,,,,,,,,,,,147k,147k,154k,166k,156k,160k,160k,160k,145k,142k,142k,154k,164k,178k,176k,176k,170k,175k,177k,287k,277k,328k,322k,357k,377k,372k,353k,328k,320k,361k,431k,435k,450k,2.26M,1.82M,469k,68k,77.7k,88.9k,144k,110k,86.3k,85.4k,69.1k,116k,102k,89.2k,78.6k,134k,126k,116k,108k,92.4k,89.4k,297k,298k,272k,261k,262k,262k,272k,271k
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180,261,244,358,362,233,118,176,209,331,295,211,651,767,733,672,734,836,952,767,996,1250,1920,2470,2930,3130,3250,3710,3550
Sudan,,,,,,,,,,,,,13k,20.3k,81.6k,115k,121k,176k,170k,173k,171k,128k,13.1k,11.8k,11k,10.6k,10.8k,10.8k,10.8k,10.8k,5350,5350,31k,180k,181k,133k,253k,347k,439k,524k,196k,268k,394k,405k,445k,475k,365k,390k,485k,513k,510k,523k,613k,743k,707k,703k,542k,437k,385k,411k,531k,590k,677k,702k,670k,701k,747k,792k,807k,858k,900k,927k
Senegal,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15k,60k,25.1k,15.5k,22.6k,25.6k,17.6k,17.6k,17.2k,9710,11.6k,12k,9790,12.8k,9180,9870,10.5k,16.4k,16.8k,16.8k,16.9k,17.8k,18.6k,21.4k,24.5k,31.8k,35.6k,39.4k,51.8k,35.6k,32.5k,29.8k,32.6k,32.6k
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,8,8,18,20,21,24,38,34,60,55,51,57,119,131,119,89,84,83,89,91,86,95,85,103,116,127,111,134,128
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,57,56,60,76,71,37,63,69,51,65,75,77,65,70,90,108,150,163,178,261,304,352,490
Sierra Leone,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,143k,254k,311k,275k,379k,375k,329k,406k,490k,410k,188k,149k,77.5k,49.9k,46.4k,48.5k,36.8k,35.1k,18.3k,12.7k,9190,8500,7700,8140,8390,9350,10.7k,12.3k,12.6k,14.1k,12.3k,12.8k
El Salvador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,91.6k,305k,242k,245k,243k,181k,172k,168k,166k,39.6k,30k,33k,30.9k,26.1k,30.7k,23.5k,19.6k,17.1k,12.6k,12.4k,184k,172k,158k,134k,96.3k,49.5k,35.2k,24.6k,16.3k,14.8k,6520,8360,9820,20.9k,29k,46.2k,81.8k,131k,152k,178k,195k,205k,207k
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,0,5,0,0,5,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,110,50,60,90,90,134,34,118,39,639,1830,3140,60.2k,352k,360k,470k,733k,812k,575k,631k,639k,637k,608k,558k,525k,488k,456k,446k,417k,410k,426k,486k,474k,582k,699k,793k,1.11M,1.17M,1.16M,1.16M,1.18M,1.07M,1.04M,1.01M,955k,866k,836k,856k
Serbia,,,,,,,,,,,,,,,0,0,0,0,130,150,140,130,130,120,120,0,0,4200,0,270,214,177,157,91,91,72,42,99,96,1750,45.8k,90.1k,58.3k,55k,86.1k,104k,107k,115k,173k,196k,195k,346k,311k,247k,208k,193k,180k,201k,208k,199k,177k,176k,71.3k,91.3k,91.9k,58.6k,46.1k,42.1k,38.7k,37.1k,38.4k,36.5k
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,106k,145k,620k,783k,1.44M,2.45M,2.3M,2.24M,2.19M,2.37M,2.37M
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,0,0,0,0,0,28,32,47,42,39,29,29,35,41,41,36,23,30,32,32,32,32,32,31,31,29,34,39,54,56,57,51,31,25
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,6620,5920,2550,894,915,817,754,663,491,413,382,293,145,100,75,47,85,71,61,56,34,27,32,34,63,68,41,61,79,89,163,140,159
