country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Comoros,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,3240,154,0,0,0,0,0,2280,0,1520,0
Cape Verde,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6k,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4k,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0
Djibouti,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,856,2040,0,423,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1250,0,0,0,16,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5k,200,0,0,3400,0,0,24,0,100k,0,100,0,0,0,0,0,0
Egypt,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0
Spain,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,0,0,0,753,1,0,0,0,0,0,0
Ethiopia,4500,0,0,,0,0,0,0,0,0,25.2k,51k,0,0,0,5920,0,0,48.7k,0,0,0,0,0,0,0,0,0,0,285,7460,8600,12,0,0,1040,33.2k,0,3150
France,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
